No.,Time,Source,Destination,Source Port,Destination Port,Source,Destination,Protocol,Length,Info
11,0.81307,10.42.42.253,10.42.42.50,35168,389,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,35168  >  389 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64
12,0.813201,10.42.42.253,10.42.42.56,43514,389,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,43514  >  389 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64
13,0.813203,10.42.42.25,10.42.42.253,554,50305,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"554  >  50305 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
14,0.813267,10.42.42.56,10.42.42.253,389,43514,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"389  >  43514 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
15,0.813322,10.42.42.253,10.42.42.25,49945,1,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,49945  >  389 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64
16,0.813429,10.42.42.253,10.42.42.50,37066,256,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,37066  >  256 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64
17,0.813457,10.42.42.253,10.42.42.56,33239,256,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,33239  >  256 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64
18,0.813459,10.42.42.50,10.42.42.253,554,38232,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"554  >  38232 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19,0.813514,10.42.42.50,10.42.42.253,389,35168,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"389  >  35168 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
20,0.813522,10.42.42.56,10.42.42.253,256,33239,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"256  >  33239 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
21,0.813529,10.42.42.25,10.42.42.253,389,49945,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"389  >  49945 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
22,0.813588,10.42.42.50,10.42.42.253,256,37066,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"256  >  37066 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
23,0.813981,10.42.42.253,10.42.42.50,39682,23,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,39682  >  23 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64
24,0.813983,10.42.42.253,10.42.42.56,60559,23,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,60559  >  23 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64
25,0.814075,10.42.42.56,10.42.42.253,23,60559,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"23  >  60559 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
26,0.814096,10.42.42.50,10.42.42.253,23,39682,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"23  >  39682 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
27,0.814222,10.42.42.253,10.42.42.25,60419,1,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,60419  >  256 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
28,0.81423,10.42.42.253,10.42.42.50,46561,80,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,46561  >  80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
29,0.814369,10.42.42.253,10.42.42.56,59941,80,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,59941  >  80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
30,0.814432,10.42.42.56,10.42.42.253,80,59941,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"80  >  59941 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
31,0.814434,10.42.42.25,10.42.42.253,256,60419,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"256  >  60419 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
32,0.814495,10.42.42.253,10.42.42.25,46672,1,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,46672  >  23 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
33,0.81454,10.42.42.253,10.42.42.50,59706,22,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,59706  >  22 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
34,0.814617,10.42.42.25,10.42.42.253,23,46672,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"23  >  46672 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
35,0.81462,10.42.42.253,10.42.42.56,50953,22,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,50953  >  22 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
36,0.814702,10.42.42.56,10.42.42.253,22,50953,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"22  >  50953 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
37,0.814757,10.42.42.50,10.42.42.253,80,46561,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"80  >  46561 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
38,0.814776,10.42.42.50,10.42.42.253,22,59706,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"22  >  59706 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
39,0.814799,10.42.42.253,10.42.42.25,41018,1,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,41018  >  80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
40,0.814882,10.42.42.253,10.42.42.50,33697,21,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,33697  >  21 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
41,0.814975,10.42.42.253,10.42.42.56,51807,21,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,51807  >  21 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
42,0.815038,10.42.42.56,10.42.42.253,21,51807,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"21  >  51807 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
43,0.81504,10.42.42.25,10.42.42.253,80,41018,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"80  >  41018 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
44,0.815212,10.42.42.253,10.42.42.25,35813,3,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,35813  >  22 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
45,0.815236,10.42.42.253,10.42.42.50,51331,443,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,51331  >  443 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
46,0.815351,10.42.42.253,10.42.42.56,46114,443,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,46114  >  443 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
47,0.815415,10.42.42.50,10.42.42.253,21,33697,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"21  >  33697 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
48,0.815417,10.42.42.56,10.42.42.253,443,46114,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"443  >  46114 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
49,0.815419,10.42.42.25,10.42.42.253,22,35813,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"22  >  35813 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
50,0.815421,10.42.42.50,10.42.42.253,443,51331,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"443  >  51331 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
51,0.815486,10.42.42.253,10.42.42.25,43706,3,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,43706  >  21 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
52,0.815541,10.42.42.253,10.42.42.50,36834,3389,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,36834  >  3389 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
53,0.815631,10.42.42.25,10.42.42.253,21,43706,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"21  >  43706 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
54,0.815634,10.42.42.253,10.42.42.56,50121,3389,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,50121  >  3389 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
55,0.815722,10.42.42.56,10.42.42.253,3389,50121,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"3389  >  50121 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
56,0.815837,10.42.42.253,10.42.42.25,44878,3,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,44878  >  443 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
57,0.815892,10.42.42.253,10.42.42.50,34135,113,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,34135  >  113 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
58,0.815999,10.42.42.253,10.42.42.56,50013,113,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,50013  >  113 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
59,0.81603,10.42.42.50,10.42.42.253,3389,36834,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"3389  >  36834 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
60,0.816032,10.42.42.50,10.42.42.253,113,34135,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"113  >  34135 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
61,0.816054,10.42.42.25,10.42.42.253,443,44878,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"443  >  44878 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
62,0.816056,10.42.42.56,10.42.42.253,113,50013,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"113  >  50013 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
63,0.816118,10.42.42.253,10.42.42.25,50402,3,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,50402  >  3389 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
64,0.816184,10.42.42.253,10.42.42.50,40191,53,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,40191  >  53 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
65,0.816283,10.42.42.253,10.42.42.56,41828,53,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,41828  >  53 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
66,0.816285,10.42.42.25,10.42.42.253,3389,50402,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"3389  >  50402 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
67,0.816347,10.42.42.56,10.42.42.253,53,41828,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"53  >  41828 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
68,0.816447,10.42.42.253,10.42.42.25,60791,4,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,60791  >  113 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
69,0.816548,10.42.42.253,10.42.42.50,56976,636,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,56976  >  636 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
70,0.81658,10.42.42.253,10.42.42.56,42026,636,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,42026  >  636 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
71,0.816659,10.42.42.56,10.42.42.253,636,42026,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"636  >  42026 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
72,0.81666,10.42.42.25,10.42.42.253,113,60791,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"113  >  60791 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
73,0.816691,10.42.42.50,10.42.42.253,53,40191,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"53  >  40191 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
74,0.816698,10.42.42.50,10.42.42.253,636,56976,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"636  >  56976 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
75,0.816749,10.42.42.253,10.42.42.25,48126,4,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,48126  >  53 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
76,0.816819,10.42.42.253,10.42.42.50,36290,25,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,36290  >  25 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
77,0.816922,10.42.42.253,10.42.42.56,34878,25,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,34878  >  25 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300145 TSecr=0 WS=64
78,0.816982,10.42.42.25,10.42.42.253,53,48126,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"53  >  48126 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
79,0.816983,10.42.42.56,10.42.42.253,25,34878,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"25  >  34878 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
80,0.817374,10.42.42.50,10.42.42.253,25,36290,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"25  >  36290 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
81,0.818274,10.42.42.253,10.42.42.56,58725,1723,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,58725  >  1723 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
82,0.818277,10.42.42.56,10.42.42.253,1723,58725,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"1723  >  58725 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
83,0.818352,10.42.42.253,10.42.42.25,38726,6,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,38726  >  636 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
84,0.818434,10.42.42.253,10.42.42.50,48823,1723,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,48823  >  1723 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
85,0.818437,10.42.42.253,10.42.42.56,53918,34573,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,53918  >  34573 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
86,0.818533,10.42.42.56,10.42.42.253,34573,53918,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"34573  >  53918 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
87,0.818537,10.42.42.25,10.42.42.253,636,38726,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"636  >  38726 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
88,0.81861,10.42.42.253,10.42.42.25,38218,6,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,38218  >  25 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
89,0.818707,10.42.42.253,10.42.42.50,40676,34573,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,40676  >  34573 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
90,0.818749,10.42.42.253,10.42.42.56,40811,4224,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,40811  >  4224 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
91,0.818753,10.42.42.25,10.42.42.253,25,38218,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"25  >  38218 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
92,0.818814,10.42.42.56,10.42.42.253,4224,40811,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"4224  >  40811 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
93,0.818928,10.42.42.253,10.42.42.25,35275,6,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,35275  >  1723 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
94,0.819084,10.42.42.253,10.42.42.50,46400,4224,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,46400  >  4224 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
95,0.819086,10.42.42.253,10.42.42.56,47435,6667,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,47435  >  6667 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
96,0.819088,10.42.42.25,10.42.42.253,1723,35275,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"1723  >  35275 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
97,0.81909,10.42.42.50,10.42.42.253,1723,48823,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"1723  >  48823 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
98,0.819091,10.42.42.50,10.42.42.253,34573,40676,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"34573  >  40676 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
99,0.819129,10.42.42.50,10.42.42.253,4224,46400,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"4224  >  46400 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
100,0.81913,10.42.42.56,10.42.42.253,6667,47435,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"6667  >  47435 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
101,0.819322,10.42.42.253,10.42.42.25,38316,6,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,38316  >  34573 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
102,0.819326,10.42.42.253,10.42.42.50,40800,6667,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,40800  >  6667 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
103,0.819463,10.42.42.253,10.42.42.56,50914,1761,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,50914  >  1761 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
104,0.819466,10.42.42.56,10.42.42.253,1761,50914,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"1761  >  50914 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
105,0.819509,10.42.42.25,10.42.42.253,34573,38316,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"34573  >  38316 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
106,0.819544,10.42.42.253,10.42.42.25,42069,7,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,42069  >  4224 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
107,0.819662,10.42.42.253,10.42.42.50,59535,1761,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,59535  >  1761 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
108,0.819666,10.42.42.25,10.42.42.253,4224,42069,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"4224  >  42069 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
109,0.819735,10.42.42.253,10.42.42.56,37505,8402,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,37505  >  8402 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
110,0.819739,10.42.42.50,10.42.42.253,6667,40800,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"6667  >  40800 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
111,0.819742,10.42.42.50,10.42.42.253,1761,59535,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"1761  >  59535 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
112,0.819745,10.42.42.56,10.42.42.253,8402,37505,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"8402  >  37505 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
113,0.819999,10.42.42.253,10.42.42.25,35615,7,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,35615  >  6667 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
114,0.820002,10.42.42.253,10.42.42.50,37056,8402,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,37056  >  8402 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
115,0.820073,10.42.42.253,10.42.42.56,36126,2005,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,36126  >  2005 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
116,0.82012,10.42.42.56,10.42.42.253,2005,36126,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"2005  >  36126 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
117,0.820144,10.42.42.25,10.42.42.253,6667,35615,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"6667  >  35615 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
118,0.82019,10.42.42.253,10.42.42.25,52570,7,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,52570  >  1761 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300146 TSecr=0 WS=64
